,,Season,Seed,Team,Team_Name,Slot,StrongSeed,DayZero,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2004-Z11,2004-R1Z6,2004,Z11,1428,Utah,R1Z6,0,11/3/2003,137,0,58,1,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12
2004-Z12,2004-R1Z5,2004,Z12,1334,Pacific,R1Z5,0,11/3/2003,137,1,66,0,58,N,0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18
2004-Z13,2004-R1Z4,2004,Z13,1227,IL Chicago,R1Z4,0,11/3/2003,137,0,78,1,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25
2004-Z14,2004-R1Z3,2004,Z14,1320,Northern Iowa,R1Z3,0,11/3/2003,137,0,65,1,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16
2004-Z15,2004-R1Z2,2004,Z15,1434,Valparaiso,R1Z2,0,11/3/2003,136,0,76,1,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20
2004-Z16a,2004-Z16,2004,Z16a,1197,Florida A&M,Z16,1,11/3/2003,134,1,72,0,57,N,0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20
2004-Z16b,2004-Z16,2004,Z16b,1250,Lehigh,Z16,0,11/3/2003,134,0,72,1,57,N,0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20
2005-W01,2005-R1W1,2005,W01,1449,Washington,R1W1,1,11/1/2004,136,1,88,0,77,N,0,32,58,9,19,15,22,9,23,19,16,9,1,14,33,65,9,20,2,8,12,21,15,18,5,0,16
2005-W02,2005-R1W2,2005,W02,1448,Wake Forest,R1W2,1,11/1/2004,136,1,70,0,54,N,0,24,58,8,28,14,21,15,22,16,15,10,2,12,21,52,6,20,6,9,11,24,12,22,5,1,19
2005-W03,2005-R1W3,2005,W03,1211,Gonzaga,R1W3,1,11/1/2004,136,1,74,0,64,N,0,27,59,5,16,15,22,11,29,13,10,5,5,14,22,60,10,26,10,12,10,26,16,13,4,0,19
2005-W04,2005-R1W4,2005,W04,1257,Louisville,R1W4,1,11/1/2004,137,1,68,0,62,N,0,22,57,6,22,18,27,16,20,12,11,5,2,19,24,53,4,12,10,18,13,24,14,18,7,0,21
2005-W05,2005-R1W5,2005,W05,1210,Georgia Tech,R1W5,1,11/1/2004,137,1,80,0,68,N,0,28,56,7,16,17,22,10,32,11,17,10,3,22,29,65,6,16,4,16,12,22,19,14,9,4,20
2005-W06,2005-R1W6,2005,W06,1403,Texas Tech,R1W6,1,11/1/2004,136,1,78,0,66,N,0,32,52,3,7,11,16,4,28,21,14,7,2,14,26,60,6,20,8,15,9,18,16,13,5,2,15
2005-W07,2005-R1W7,2005,W07,1452,West Virginia,R1W7,1,11/1/2004,136,1,63,0,61,N,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16
2005-W08,2005-R1W8,2005,W08,1334,Pacific,R1W8,1,11/1/2004,136,1,79,0,71,N,0,26,55,10,20,17,23,10,25,15,12,2,1,18,25,59,8,23,13,18,10,20,10,10,7,3,20
2005-W09,2005-R1W8,2005,W09,1338,Pittsburgh,R1W8,0,11/1/2004,136,0,79,1,71,N,0,26,55,10,20,17,23,10,25,15,12,2,1,18,25,59,8,23,13,18,10,20,10,10,7,3,20
2005-W10,2005-R1W7,2005,W10,1166,Creighton,R1W7,0,11/1/2004,136,0,63,1,61,N,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16
2005-W11,2005-R1W6,2005,W11,1417,UCLA,R1W6,0,11/1/2004,136,0,78,1,66,N,0,32,52,3,7,11,16,4,28,21,14,7,2,14,26,60,6,20,8,15,9,18,16,13,5,2,15
2005-W12,2005-R1W5,2005,W12,1203,G Washington,R1W5,0,11/1/2004,137,0,80,1,68,N,0,28,56,7,16,17,22,10,32,11,17,10,3,22,29,65,6,16,4,16,12,22,19,14,9,4,20
2005-W13,2005-R1W4,2005,W13,1418,ULL,R1W4,0,11/1/2004,137,0,68,1,62,N,0,22,57,6,22,18,27,16,20,12,11,5,2,19,24,53,4,12,10,18,13,24,14,18,7,0,21
2005-W14,2005-R1W3,2005,W14,1457,Winthrop,R1W3,0,11/1/2004,136,0,74,1,64,N,0,27,59,5,16,15,22,11,29,13,10,5,5,14,22,60,10,26,10,12,10,26,16,13,4,0,19
2005-W15,2005-R1W2,2005,W15,1151,Chattanooga,R1W2,0,11/1/2004,136,0,70,1,54,N,0,24,58,8,28,14,21,15,22,16,15,10,2,12,21,52,6,20,6,9,11,24,12,22,5,1,19
2005-W16,2005-R1W1,2005,W16,1285,Montana,R1W1,0,11/1/2004,136,0,88,1,77,N,0,32,58,9,19,15,22,9,23,19,16,9,1,14,33,65,9,20,2,8,12,21,15,18,5,0,16
2005-X01,2005-R1X1,2005,X01,1228,Illinois,R1X1,1,11/1/2004,136,1,67,0,55,N,0,23,54,6,21,15,21,8,22,16,8,8,2,13,23,57,4,16,5,11,15,27,11,17,6,3,19
2005-X02,2005-R1X2,2005,X02,1329,Oklahoma St,R1X2,1,11/1/2004,137,1,63,0,50,N,0,18,37,4,7,23,29,8,22,13,17,11,1,13,20,45,3,10,7,10,5,14,10,17,12,2,22
2005-X03,2005-R1X3,2005,X03,1112,Arizona,R1X3,1,11/1/2004,136,1,66,0,53,N,0,23,49,6,14,14,18,9,24,9,11,3,6,12,20,55,7,19,6,10,12,20,15,12,6,3,16
2005-X04,2005-R1X4,2005,X04,1130,Boston College,R1X4,1,11/1/2004,136,1,85,0,65,N,0,30,52,8,12,17,25,8,33,24,19,8,6,14,25,71,10,30,5,10,16,18,17,17,11,2,19
2005-X05,2005-R1X5,2005,X05,1104,Alabama,R1X5,1,11/1/2004,136,0,83,1,73,N,0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20
2005-X06,2005-R1X6,2005,X06,1261,LSU,R1X6,1,11/1/2004,136,0,82,1,68,N,0,27,59,7,16,21,36,11,24,15,15,8,2,23,23,64,6,31,16,22,16,26,10,21,6,5,26
2005-X07,2005-R1X7,2005,X07,1356,S Illinois,R1X7,1,11/1/2004,137,1,65,0,56,N,0,25,61,4,12,11,14,12,21,12,10,8,2,22,17,51,4,20,18,22,16,26,3,20,2,2,17
2005-X08,2005-R1X8,2005,X08,1400,Texas,R1X8,1,11/1/2004,136,0,61,1,57,N,0,23,62,3,14,12,18,16,33,11,8,4,7,14,24,68,5,10,4,6,13,27,2,5,5,6,16
2005-X09,2005-R1X8,2005,X09,1305,Nevada,R1X8,0,11/1/2004,136,1,61,0,57,N,0,23,62,3,14,12,18,16,33,11,8,4,7,14,24,68,5,10,4,6,13,27,2,5,5,6,16
2005-X10,2005-R1X7,2005,X10,1388,St Mary's CA,R1X7,0,11/1/2004,137,0,65,1,56,N,0,25,61,4,12,11,14,12,21,12,10,8,2,22,17,51,4,20,18,22,16,26,3,20,2,2,17
2005-X11,2005-R1X6,2005,X11,1412,UAB,R1X6,0,11/1/2004,136,1,82,0,68,N,0,27,59,7,16,21,36,11,24,15,15,8,2,23,23,64,6,31,16,22,16,26,10,21,6,5,26
2005-X12,2005-R1X5,2005,X12,1454,WI Milwaukee,R1X5,0,11/1/2004,136,1,83,0,73,N,0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20
2005-X13,2005-R1X4,2005,X13,1335,Penn,R1X4,0,11/1/2004,136,0,85,1,65,N,0,30,52,8,12,17,25,8,33,24,19,8,6,14,25,71,10,30,5,10,16,18,17,17,11,2,19
2005-X14,2005-R1X3,2005,X14,1429,Utah St,R1X3,0,11/1/2004,136,0,66,1,53,N,0,23,49,6,14,14,18,9,24,9,11,3,6,12,20,55,7,19,6,10,12,20,15,12,6,3,16
2005-X15,2005-R1X2,2005,X15,1368,SE Louisiana,R1X2,0,11/1/2004,137,0,63,1,50,N,0,18,37,4,7,23,29,8,22,13,17,11,1,13,20,45,3,10,7,10,5,14,10,17,12,2,22
2005-X16,2005-R1X1,2005,X16,1192,F Dickinson,R1X1,0,11/1/2004,136,0,67,1,55,N,0,23,54,6,21,15,21,8,22,16,8,8,2,13,23,57,4,16,5,11,15,27,11,17,6,3,19
2005-Y01,2005-R1Y1,2005,Y01,1181,Duke,R1Y1,1,11/1/2004,137,1,57,0,46,N,0,16,39,6,20,19,29,5,27,9,8,5,6,15,19,52,5,15,3,6,9,21,10,11,3,1,23
2005-Y02,2005-R1Y2,2005,Y02,1246,Kentucky,R1Y2,1,11/1/2004,136,1,72,0,64,N,0,26,51,2,11,18,26,9,22,11,14,9,4,11,26,59,6,18,6,11,13,22,14,17,5,1,20
2005-Y03,2005-R1Y3,2005,Y03,1328,Oklahoma,R1Y3,1,11/1/2004,136,1,84,0,67,N,0,34,74,3,13,13,15,14,34,16,14,9,3,14,24,68,6,28,13,15,11,26,12,16,8,2,16
2005-Y04,2005-R1Y4,2005,Y04,1393,Syracuse,R1Y4,1,11/1/2004,137,0,60,1,57,N,1,22,59,7,21,9,11,13,17,14,16,10,0,12,23,55,3,12,8,9,14,23,8,24,9,3,12
2005-Y05,2005-R1Y5,2005,Y05,1277,Michigan St,R1Y5,1,11/1/2004,137,1,89,0,81,N,0,29,51,3,14,28,36,5,25,11,13,9,1,22,26,61,7,20,22,26,10,20,13,15,9,1,29
2005-Y06,2005-R1Y6,2005,Y06,1428,Utah,R1Y6,1,11/1/2004,136,1,60,0,54,N,0,21,49,6,24,12,20,15,25,15,18,7,4,13,22,53,2,9,8,9,5,17,13,10,6,1,20
2005-Y07,2005-R1Y7,2005,Y07,1153,Cincinnati,R1Y7,1,11/1/2004,136,1,76,0,64,N,0,27,57,9,18,13,22,9,27,18,8,5,8,19,20,59,5,17,19,25,16,27,5,11,6,1,20
2005-Y08,2005-R1Y8,2005,Y08,1390,Stanford,R1Y8,1,11/1/2004,137,0,93,1,70,N,0,32,57,9,17,20,26,10,29,13,9,3,6,19,24,63,4,18,18,25,12,18,9,5,6,3,19
2005-Y09,2005-R1Y8,2005,Y09,1280,Mississippi St,R1Y8,0,11/1/2004,137,1,93,0,70,N,0,32,57,9,17,20,26,10,29,13,9,3,6,19,24,63,4,18,18,25,12,18,9,5,6,3,19
2005-Y10,2005-R1Y7,2005,Y10,1234,Iowa,R1Y7,0,11/1/2004,136,0,76,1,64,N,0,27,57,9,18,13,22,9,27,18,8,5,8,19,20,59,5,17,19,25,16,27,5,11,6,1,20
2005-Y11,2005-R1Y6,2005,Y11,1431,UTEP,R1Y6,0,11/1/2004,136,0,60,1,54,N,0,21,49,6,24,12,20,15,25,15,18,7,4,13,22,53,2,9,8,9,5,17,13,10,6,1,20
2005-Y12,2005-R1Y5,2005,Y12,1330,Old Dominion,R1Y5,0,11/1/2004,137,0,89,1,81,N,0,29,51,3,14,28,36,5,25,11,13,9,1,22,26,61,7,20,22,26,10,20,13,15,9,1,29
2005-Y13,2005-R1Y4,2005,Y13,1436,Vermont,R1Y4,0,11/1/2004,137,1,60,0,57,N,1,22,59,7,21,9,11,13,17,14,16,10,0,12,23,55,3,12,8,9,14,23,8,24,9,3,12
2005-Y14,2005-R1Y3,2005,Y14,1310,Niagara,R1Y3,0,11/1/2004,136,0,84,1,67,N,0,34,74,3,13,13,15,14,34,16,14,9,3,14,24,68,6,28,13,15,11,26,12,16,8,2,16
2005-Y15,2005-R1Y2,2005,Y15,1184,E Kentucky,R1Y2,0,11/1/2004,136,0,72,1,64,N,0,26,51,2,11,18,26,9,22,11,14,9,4,11,26,59,6,18,6,11,13,22,14,17,5,1,20
2005-Y16,2005-R1Y1,2005,Y16,1175,Delaware St,R1Y1,0,11/1/2004,137,0,57,1,46,N,0,16,39,6,20,19,29,5,27,9,8,5,6,15,19,52,5,15,3,6,9,21,10,11,3,1,23
2005-Z01,2005-R1Z1,2005,Z01,1314,North Carolina,R1Z1,1,11/1/2004,137,1,96,0,68,N,0,37,58,12,19,10,19,15,24,27,15,9,3,13,25,58,6,15,12,18,11,11,12,10,9,0,16
2005-Z02,2005-R1Z2,2005,Z02,1163,Connecticut,R1Z2,1,11/1/2004,137,1,77,0,71,N,0,29,58,3,6,16,25,14,29,17,13,7,6,13,21,61,11,28,18,21,12,17,16,10,10,6,21
2005-Z03,2005-R1Z3,2005,Z03,1242,Kansas,R1Z3,1,11/1/2004,137,0,64,1,63,N,0,22,55,8,31,12,16,9,21,17,9,10,1,21,20,46,1,11,22,27,8,26,14,13,5,3,15
2005-Z04,2005-R1Z4,2005,Z04,1196,Florida,R1Z4,1,11/1/2004,137,1,67,0,62,N,0,21,54,7,23,18,19,11,21,15,16,11,8,21,18,46,9,18,17,26,10,23,8,20,8,5,21
2005-Z05,2005-R1Z5,2005,Z05,1437,Villanova,R1Z5,1,11/1/2004,137,1,55,0,47,N,0,15,53,8,29,17,24,18,29,9,20,12,4,15,17,57,4,25,9,12,12,23,6,17,9,4,20
2005-Z06,2005-R1Z6,2005,Z06,1458,Wisconsin,R1Z6,1,11/1/2004,137,1,57,0,52,N,0,20,48,11,26,6,10,5,25,14,8,3,2,13,22,53,4,17,4,8,8,27,8,8,4,2,15
2005-Z07,2005-R1Z7,2005,Z07,1150,Charlotte,R1Z7,1,11/1/2004,137,0,75,1,63,N,0,26,59,4,19,19,22,11,22,14,16,14,8,10,23,58,8,21,9,14,12,24,11,20,8,2,18
2005-Z08,2005-R1Z8,2005,Z08,1278,Minnesota,R1Z8,1,11/1/2004,137,0,64,1,53,N,0,25,57,2,8,12,19,15,24,11,13,12,8,17,21,63,5,23,6,10,20,21,8,17,9,1,18
2005-Z09,2005-R1Z8,2005,Z09,1235,Iowa St,R1Z8,0,11/1/2004,137,1,64,0,53,N,0,25,57,2,8,12,19,15,24,11,13,12,8,17,21,63,5,23,6,10,20,21,8,17,9,1,18
2005-Z10,2005-R1Z7,2005,Z10,1301,NC State,R1Z7,0,11/1/2004,137,1,75,0,63,N,0,26,59,4,19,19,22,11,22,14,16,14,8,10,23,58,8,21,9,14,12,24,11,20,8,2,18
2005-Z11,2005-R1Z6,2005,Z11,1320,Northern Iowa,R1Z6,0,11/1/2004,137,0,57,1,52,N,0,20,48,11,26,6,10,5,25,14,8,3,2,13,22,53,4,17,4,8,8,27,8,8,4,2,15
2005-Z12,2005-R1Z5,2005,Z12,1307,New Mexico,R1Z5,0,11/1/2004,137,0,55,1,47,N,0,15,53,8,29,17,24,18,29,9,20,12,4,15,17,57,4,25,9,12,12,23,6,17,9,4,20
2005-Z13,2005-R1Z4,2005,Z13,1325,Ohio,R1Z4,0,11/1/2004,137,0,67,1,62,N,0,21,54,7,23,18,19,11,21,15,16,11,8,21,18,46,9,18,17,26,10,23,8,20,8,5,21
2005-Z14,2005-R1Z3,2005,Z14,1137,Bucknell,R1Z3,0,11/1/2004,137,1,64,0,63,N,0,22,55,8,31,12,16,9,21,17,9,10,1,21,20,46,1,11,22,27,8,26,14,13,5,3,15
2005-Z15,2005-R1Z2,2005,Z15,1416,UCF,R1Z2,0,11/1/2004,137,0,77,1,71,N,0,29,58,3,6,16,25,14,29,17,13,7,6,13,21,61,11,28,18,21,12,17,16,10,10,6,21
2005-Z16a,2005-Z16,2005,Z16a,1105,Alabama A&M,Z16,1,11/1/2004,134,0,79,1,69,N,0,29,57,7,15,14,20,14,29,14,17,2,2,14,23,59,10,28,13,18,10,19,16,14,6,3,17
2005-Z16b,2005-Z16,2005,Z16b,1324,Oakland,Z16,0,11/1/2004,134,1,79,0,69,N,0,29,57,7,15,14,20,14,29,14,17,2,2,14,23,59,10,28,13,18,10,19,16,14,6,3,17
2006-W01,2006-R1W1,2006,W01,1181,Duke,R1W1,1,10/31/2005,136,1,70,0,54,N,0,24,49,5,15,17,20,9,26,15,20,9,8,11,22,62,4,13,6,10,16,16,8,16,14,4,20
2006-W02,2006-R1W2,2006,W02,1400,Texas,R1W2,1,10/31/2005,137,1,60,0,52,N,0,18,45,2,10,22,26,14,28,7,11,4,6,14,17,53,10,27,8,13,11,10,10,8,4,1,20
2006-W03,2006-R1W3,2006,W03,1234,Iowa,R1W3,1,10/31/2005,137,0,64,1,63,N,0,23,60,9,23,9,14,14,17,17,11,9,4,21,18,41,6,18,21,26,9,27,10,19,4,5,17
2006-W04,2006-R1W4,2006,W04,1261,LSU,R1W4,1,10/31/2005,136,1,80,0,64,N,0,27,51,5,10,21,27,9,30,16,18,8,11,17,23,61,3,18,15,25,13,16,6,15,10,3,19
2006-W05,2006-R1W5,2006,W05,1393,Syracuse,R1W5,1,10/31/2005,136,0,66,1,58,N,0,20,56,7,20,19,22,14,24,14,10,8,5,19,20,51,4,19,14,21,11,24,12,12,6,2,16
2006-W06,2006-R1W6,2006,W06,1452,West Virginia,R1W6,1,10/31/2005,137,1,64,0,46,N,0,22,50,11,32,9,11,9,22,15,11,8,3,10,20,47,4,13,2,4,6,20,12,15,7,2,14
2006-W07,2006-R1W7,2006,W07,1143,California,R1W7,1,10/31/2005,137,0,58,1,52,N,0,21,42,5,16,11,17,7,18,10,11,5,1,15,20,47,5,16,7,10,9,17,9,13,7,1,18
2006-W08,2006-R1W8,2006,W08,1203,G Washington,R1W8,1,10/31/2005,136,1,88,0,85,N,1,31,66,10,22,16,22,15,19,16,10,6,1,20,32,54,11,22,10,18,8,25,20,15,2,1,22
2006-W09,2006-R1W8,2006,W09,1423,UNC Wilmington,R1W8,0,10/31/2005,136,0,88,1,85,N,1,31,66,10,22,16,22,15,19,16,10,6,1,20,32,54,11,22,10,18,8,25,20,15,2,1,22
2006-W10,2006-R1W7,2006,W10,1301,NC State,R1W7,0,10/31/2005,137,1,58,0,52,N,0,21,42,5,16,11,17,7,18,10,11,5,1,15,20,47,5,16,7,10,9,17,9,13,7,1,18
2006-W11,2006-R1W6,2006,W11,1356,S Illinois,R1W6,0,10/31/2005,137,0,64,1,46,N,0,22,50,11,32,9,11,9,22,15,11,8,3,10,20,47,4,13,2,4,6,20,12,15,7,2,14
2006-W12,2006-R1W5,2006,W12,1401,Texas A&M,R1W5,0,10/31/2005,136,1,66,0,58,N,0,20,56,7,20,19,22,14,24,14,10,8,5,19,20,51,4,19,14,21,11,24,12,12,6,2,16
2006-W13,2006-R1W4,2006,W13,1233,Iona,R1W4,0,10/31/2005,136,0,80,1,64,N,0,27,51,5,10,21,27,9,30,16,18,8,11,17,23,61,3,18,15,25,13,16,6,15,10,3,19
2006-W14,2006-R1W3,2006,W14,1322,Northwestern LA,R1W3,0,10/31/2005,137,1,64,0,63,N,0,23,60,9,23,9,14,14,17,17,11,9,4,21,18,41,6,18,21,26,9,27,10,19,4,5,17
2006-W15,2006-R1W2,2006,W15,1335,Penn,R1W2,0,10/31/2005,137,0,60,1,52,N,0,18,45,2,10,22,26,14,28,7,11,4,6,14,17,53,10,27,8,13,11,10,10,8,4,1,20
2006-W16,2006-R1W1,2006,W16,1380,Southern Univ,R1W1,0,10/31/2005,136,0,70,1,54,N,0,24,49,5,15,17,20,9,26,15,20,9,8,11,22,62,4,13,6,10,16,16,8,16,14,4,20
2006-X01,2006-R1X1,2006,X01,1272,Memphis,R1X1,1,10/31/2005,137,1,94,0,78,N,0,37,61,11,22,9,16,12,21,16,13,10,2,21,28,53,7,15,15,20,7,17,14,13,4,4,17
2006-X02,2006-R1X2,2006,X02,1417,UCLA,R1X2,1,10/31/2005,136,1,78,0,44,N,0,30,56,4,13,14,17,9,36,20,14,11,4,14,17,59,4,19,6,13,9,18,9,14,8,3,16
2006-X03,2006-R1X3,2006,X03,1211,Gonzaga,R1X3,1,10/31/2005,136,1,79,0,75,N,0,26,50,6,12,21,27,8,25,11,10,4,4,25,21,51,10,28,23,33,10,21,14,8,4,1,20
2006-X04,2006-R1X4,2006,X04,1242,Kansas,R1X4,1,10/31/2005,137,0,77,1,73,N,0,23,52,11,21,20,32,11,24,17,16,6,1,17,26,58,7,18,14,19,11,25,11,18,12,1,25
2006-X05,2006-R1X5,2006,X05,1338,Pittsburgh,R1X5,1,10/31/2005,137,1,79,0,64,N,0,31,46,6,14,11,15,4,24,18,12,4,7,13,23,59,9,22,9,13,14,15,12,10,6,1,19
2006-X06,2006-R1X6,2006,X06,1231,Indiana,R1X6,1,10/31/2005,136,1,87,0,83,N,0,35,71,8,26,9,16,15,16,14,9,11,0,16,31,55,10,18,11,15,10,26,15,16,7,2,19
2006-X07,2006-R1X7,2006,X07,1266,Marquette,R1X7,1,10/31/2005,136,0,90,1,85,N,0,28,55,12,23,22,31,16,16,15,14,4,3,17,32,61,7,22,14,19,13,15,13,12,9,4,22
2006-X08,2006-R1X8,2006,X08,1116,Arkansas,R1X8,1,10/31/2005,137,0,59,1,55,N,0,17,44,11,21,14,18,8,21,10,14,10,2,17,19,47,2,12,15,24,12,20,13,13,4,4,15
2006-X09,2006-R1X8,2006,X09,1137,Bucknell,R1X8,0,10/31/2005,137,1,59,0,55,N,0,17,44,11,21,14,18,8,21,10,14,10,2,17,19,47,2,12,15,24,12,20,13,13,4,4,15
2006-X10,2006-R1X7,2006,X10,1104,Alabama,R1X7,0,10/31/2005,136,1,90,0,85,N,0,28,55,12,23,22,31,16,16,15,14,4,3,17,32,61,7,22,14,19,13,15,13,12,9,4,22
2006-X11,2006-R1X6,2006,X11,1361,San Diego St,R1X6,0,10/31/2005,136,0,87,1,83,N,0,35,71,8,26,9,16,15,16,14,9,11,0,16,31,55,10,18,11,15,10,26,15,16,7,2,19
2006-X12,2006-R1X5,2006,X12,1245,Kent,R1X5,0,10/31/2005,137,0,79,1,64,N,0,31,46,6,14,11,15,4,24,18,12,4,7,13,23,59,9,22,9,13,14,15,12,10,6,1,19
2006-X13,2006-R1X4,2006,X13,1133,Bradley,R1X4,0,10/31/2005,137,1,77,0,73,N,0,23,52,11,21,20,32,11,24,17,16,6,1,17,26,58,7,18,14,19,11,25,11,18,12,1,25
2006-X14,2006-R1X3,2006,X14,1462,Xavier,R1X3,0,10/31/2005,136,0,79,1,75,N,0,26,50,6,12,21,27,8,25,11,10,4,4,25,21,51,10,28,23,33,10,21,14,8,4,1,20
2006-X15,2006-R1X2,2006,X15,1125,Belmont,R1X2,0,10/31/2005,136,0,78,1,44,N,0,30,56,4,13,14,17,9,36,20,14,11,4,14,17,59,4,19,6,13,9,18,9,14,8,3,16
2006-X16,2006-R1X1,2006,X16,1331,Oral Roberts,R1X1,0,10/31/2005,137,0,94,1,78,N,0,37,61,11,22,9,16,12,21,16,13,10,2,21,28,53,7,15,15,20,7,17,14,13,4,4,17
2006-Y01,2006-R1Y1,2006,Y01,1437,Villanova,R1Y1,1,10/31/2005,137,1,58,0,45,N,0,16,52,7,25,19,23,15,25,7,13,13,1,17,14,41,4,17,13,17,6,25,12,18,7,3,17
2006-Y02,2006-R1Y2,2006,Y02,1326,Ohio St,R1Y2,1,10/31/2005,137,1,70,0,62,N,0,26,65,5,22,13,23,15,28,10,4,2,4,13,26,68,5,22,5,7,14,30,13,9,1,3,20
2006-Y03,2006-R1Y3,2006,Y03,1196,Florida,R1Y3,1,10/31/2005,136,1,76,0,50,N,0,29,59,10,25,8,10,8,31,21,11,8,7,9,19,55,9,20,3,6,7,24,8,16,7,3,17
2006-Y04,2006-R1Y4,2006,Y04,1130,Boston College,R1Y4,1,10/31/2005,136,1,88,0,76,N,2,29,57,6,23,24,29,7,23,22,8,12,2,16,26,63,10,25,14,18,14,23,18,15,4,2,22
2006-Y05,2006-R1Y5,2006,Y05,1305,Nevada,R1Y5,1,10/31/2005,136,0,87,1,79,N,0,29,56,6,12,23,27,10,22,18,8,2,2,12,33,70,5,18,8,10,17,19,15,9,5,7,23
2006-Y06,2006-R1Y6,2006,Y06,1328,Oklahoma,R1Y6,1,10/31/2005,136,0,82,1,74,N,0,25,55,6,20,26,32,10,22,13,12,8,1,15,32,61,5,14,5,8,10,25,18,18,8,4,25
2006-Y07,2006-R1Y7,2006,Y07,1207,Georgetown,R1Y7,1,10/31/2005,137,1,54,0,49,N,0,20,46,5,19,9,14,8,24,15,9,4,4,12,17,48,7,26,8,12,9,22,10,8,4,3,15
2006-Y08,2006-R1Y8,2006,Y08,1112,Arizona,R1Y8,1,10/31/2005,137,1,94,0,75,N,0,35,59,5,10,19,23,11,25,19,9,9,6,19,25,58,10,20,15,22,12,15,19,10,4,3,17
2006-Y09,2006-R1Y8,2006,Y09,1458,Wisconsin,R1Y8,0,10/31/2005,137,0,94,1,75,N,0,35,59,5,10,19,23,11,25,19,9,9,6,19,25,58,10,20,15,22,12,15,19,10,4,3,17
2006-Y10,2006-R1Y7,2006,Y10,1320,Northern Iowa,R1Y7,0,10/31/2005,137,0,54,1,49,N,0,20,46,5,19,9,14,8,24,15,9,4,4,12,17,48,7,26,8,12,9,22,10,8,4,3,15
2006-Y11,2006-R1Y6,2006,Y11,1454,WI Milwaukee,R1Y6,0,10/31/2005,136,1,82,0,74,N,0,25,55,6,20,26,32,10,22,13,12,8,1,15,32,61,5,14,5,8,10,25,18,18,8,4,25
2006-Y12,2006-R1Y5,2006,Y12,1285,Montana,R1Y5,0,10/31/2005,136,1,87,0,79,N,0,29,56,6,12,23,27,10,22,18,8,2,2,12,33,70,5,18,8,10,17,19,15,9,5,7,23
2006-Y13,2006-R1Y4,2006,Y13,1334,Pacific,R1Y4,0,10/31/2005,136,0,88,1,76,N,2,29,57,6,23,24,29,7,23,22,8,12,2,16,26,63,10,25,14,18,14,23,18,15,4,2,22
2006-Y14,2006-R1Y3,2006,Y14,1375,South Alabama,R1Y3,0,10/31/2005,136,0,76,1,50,N,0,29,59,10,25,8,10,8,31,21,11,8,7,9,19,55,9,20,3,6,7,24,8,16,7,3,17
2006-Y15,2006-R1Y2,2006,Y15,1172,Davidson,R1Y2,0,10/31/2005,137,0,70,1,62,N,0,26,65,5,22,13,23,15,28,10,4,2,4,13,26,68,5,22,5,7,14,30,13,9,1,3,20
2006-Y16a,2006-Y16,2006,Y16a,1214,Hampton,Y16,1,10/31/2005,134,0,71,1,49,N,0,27,61,10,26,7,9,7,31,21,9,2,10,11,19,63,4,15,7,13,15,27,7,13,4,4,11
2006-Y16b,2006-Y16,2006,Y16b,1284,Monmouth NJ,Y16,0,10/31/2005,134,1,71,0,49,N,0,27,61,10,26,7,9,7,31,21,9,2,10,11,19,63,4,15,7,13,15,27,7,13,4,4,11
2006-Z01,2006-R1Z1,2006,Z01,1163,Connecticut,R1Z1,1,10/31/2005,137,1,72,0,59,N,0,27,46,8,16,10,13,7,21,17,16,6,5,9,24,52,4,15,7,8,8,14,12,12,11,1,14
2006-Z02,2006-R1Z2,2006,Z02,1397,Tennessee,R1Z2,1,10/31/2005,136,1,63,0,61,N,0,24,53,5,21,10,14,11,22,12,13,6,6,15,22,56,7,24,10,17,15,20,14,15,7,3,15
2006-Z03,2006-R1Z3,2006,Z03,1314,North Carolina,R1Z3,1,10/31/2005,137,1,69,0,65,N,0,22,48,5,18,20,25,12,25,15,17,10,3,12,25,65,7,27,8,12,17,16,5,13,9,2,19
