Unique ID,Season,Team,games_won,games_lost,total_wscore,total_lscore,win_score_diff,lose_score_diff,avg_win_score_diff,avg_lose_score_diff,seed,seed_number,ncaa_champ,final_four
1186-2010,2010,1186,7,21,548,1328,27,290,3.857142857,13.80952381,0,0,0,0
1186-2011,2011,1186,8,20,606,1209,75,251,9.375,12.55,0,0,0,0
1186-2012,2012,1186,13,17,999,1140,143,162,11,9.529411765,0,0,0,0
1186-2013,2013,1186,10,21,772,1374,86,250,8.6,11.9047619,0,0,0,0
1186-2014,2014,1186,13,16,1084,1109,168,202,12.92307692,12.625,0,0,0,0
1186-2015,2015,1186,23,8,1908,552,226,68,9.826086957,8.5,X13,13,0,0
1186-2016,2016,1186,15,15,1287,1103,211,153,14.06666667,10.2,0,0,0,0
1187-2003,2003,1187,10,15,721,854,130,203,13,13.53333333,0,0,0,0
1187-2004,2004,1187,12,14,911,894,213,135,17.75,9.642857143,0,0,0,0
1187-2005,2005,1187,7,19,475,1153,50,266,7.142857143,14,0,0,0,0
1187-2006,2006,1187,6,20,426,1154,48,214,8,10.7,0,0,0,0
1187-2007,2007,1187,3,24,237,1326,28,339,9.333333333,14.125,0,0,0,0
1187-2008,2008,1187,9,18,691,1117,119,287,13.22222222,15.94444444,0,0,0,0
1187-2009,2009,1187,10,17,849,1093,114,229,11.4,13.47058824,0,0,0,0
1187-2010,2010,1187,7,21,508,1354,71,340,10.14285714,16.19047619,0,0,0,0
1187-2011,2011,1187,15,15,1098,919,132,168,8.8,11.2,0,0,0,0
1187-2012,2012,1187,11,16,787,1016,136,139,12.36363636,8.6875,0,0,0,0
1187-2013,2013,1187,14,12,1095,854,106,112,7.571428571,9.333333333,0,0,0,0
1187-2014,2014,1187,13,16,1050,1003,119,155,9.153846154,9.6875,0,0,0,0
1187-2015,2015,1187,12,19,820,1105,129,248,10.75,13.05263158,0,0,0,0
1187-2016,2016,1187,12,20,924,1262,145,260,12.08333333,13,0,0,0,0
1188-2009,2009,1188,4,19,303,1186,23,388,5.75,20.42105263,0,0,0,0
1188-2010,2010,1188,3,23,222,1349,21,435,7,18.91304348,0,0,0,0
1188-2011,2011,1188,4,21,308,1247,21,489,5.25,23.28571429,0,0,0,0
1188-2012,2012,1188,8,17,567,1056,56,251,7,14.76470588,0,0,0,0
1188-2013,2013,1188,7,18,451,1090,55,218,7.857142857,12.11111111,0,0,0,0
1188-2014,2014,1188,9,20,725,1360,61,214,6.777777778,10.7,0,0,0,0
1188-2015,2015,1188,10,16,702,999,122,193,12.2,12.0625,0,0,0,0
1188-2016,2016,1188,6,22,440,1399,34,263,5.666666667,11.95454545,0,0,0,0
1189-2003,2003,1189,10,15,672,888,82,233,8.2,15.53333333,0,0,0,0
1189-2004,2004,1189,10,18,766,1133,94,276,9.4,15.33333333,0,0,0,0
1189-2005,2005,1189,7,22,456,1283,45,281,6.428571429,12.77272727,0,0,0,0
1189-2006,2006,1189,12,14,857,834,78,183,6.5,13.07142857,0,0,0,0
1189-2007,2007,1189,5,23,364,1350,36,309,7.2,13.43478261,0,0,0,0
1189-2008,2008,1189,13,18,879,1058,113,200,8.692307692,11.11111111,0,0,0,0
1189-2009,2009,1189,9,20,620,1257,50,263,5.555555556,13.15,0,0,0,0
1189-2010,2010,1189,8,23,623,1416,60,288,7.5,12.52173913,0,0,0,0
1189-2011,2011,1189,11,17,876,1148,123,213,11.18181818,12.52941176,0,0,0,0
1189-2012,2012,1189,13,16,961,1018,98,225,7.538461538,14.0625,0,0,0,0
1189-2013,2013,1189,19,11,1345,696,167,101,8.789473684,9.181818182,0,0,0,0
1189-2014,2014,1189,16,13,1223,855,169,155,10.5625,11.92307692,0,0,0,0
1189-2015,2015,1189,13,18,974,1127,90,190,6.923076923,10.55555556,0,0,0,0
1189-2016,2016,1189,14,16,1139,1100,130,170,9.285714286,10.625,0,0,0,0
1190-2003,2003,1190,17,10,1409,743,162,102,9.529411765,10.2,W15,15,0,0
1190-2004,2004,1190,24,5,1885,375,259,36,10.79166667,7.2,W13,13,0,0
1190-2005,2005,1190,7,19,589,1350,72,241,10.28571429,12.68421053,0,0,0,0
1190-2006,2006,1190,15,13,1343,941,227,121,15.13333333,9.307692308,0,0,0,0
1190-2007,2007,1190,22,9,1681,585,271,138,12.31818182,15.33333333,0,0,0,0
1190-2008,2008,1190,18,13,1478,938,165,159,9.166666667,12.23076923,0,0,0,0
1190-2009,2009,1190,22,10,1807,692,320,66,14.54545455,6.6,W16,16,0,0
1190-2010,2010,1190,19,14,1348,930,213,126,11.21052632,9,W16,16,0,0
1190-2011,2011,1190,21,11,1546,628,243,115,11.57142857,10.45454545,0,0,0,0
1190-2012,2012,1190,16,14,1159,856,164,123,10.25,8.785714286,0,0,0,0
1190-2013,2013,1190,9,22,644,1256,56,394,6.222222222,17.90909091,0,0,0,0
1190-2014,2014,1190,17,15,1405,1020,160,162,9.411764706,10.8,0,0,0,0
1190-2015,2015,1190,14,14,1066,934,81,103,5.785714286,7.357142857,0,0,0,0
1190-2016,2016,1190,21,11,1685,754,175,130,8.333333333,11.81818182,0,0,0,0
1191-2003,2003,1191,12,16,918,1042,104,207,8.666666667,12.9375,0,0,0,0
1191-2004,2004,1191,7,22,529,1433,87,288,12.42857143,13.09090909,0,0,0,0
1191-2005,2005,1191,11,17,839,1147,105,164,9.545454545,9.647058824,0,0,0,0
1191-2006,2006,1191,10,19,698,1197,62,225,6.2,11.84210526,0,0,0,0
1191-2007,2007,1191,14,17,986,1145,182,164,13,9.647058824,0,0,0,0
1191-2008,2008,1191,8,21,527,1201,80,274,10,13.04761905,0,0,0,0
1191-2009,2009,1191,16,13,1108,822,174,139,10.875,10.69230769,0,0,0,0
1191-2010,2010,1191,8,21,563,1289,80,230,10,10.95238095,0,0,0,0
1191-2011,2011,1191,14,15,1018,876,136,202,9.714285714,13.46666667,0,0,0,0
1191-2012,2012,1191,15,15,1150,1035,173,167,11.53333333,11.13333333,0,0,0,0
1191-2013,2013,1191,17,14,1199,876,186,108,10.94117647,7.714285714,0,0,0,0
1191-2014,2014,1191,12,19,950,1162,122,256,10.16666667,13.47368421,0,0,0,0
1191-2015,2015,1191,18,12,1302,730,173,99,9.611111111,8.25,0,0,0,0
1191-2016,2016,1191,24,9,1888,554,353,73,14.70833333,8.111111111,0,0,0,0
1192-2003,2003,1192,15,14,1185,921,129,176,8.6,12.57142857,0,0,0,0
1192-2004,2004,1192,16,12,1147,775,115,100,7.1875,8.333333333,0,0,0,0
1192-2005,2005,1192,19,12,1414,885,203,102,10.68421053,8.5,X16,16,0,0
1192-2006,2006,1192,19,11,1450,754,196,127,10.31578947,11.54545455,0,0,0,0
1192-2007,2007,1192,13,16,1024,1083,59,147,4.538461538,9.1875,0,0,0,0
1192-2008,2008,1192,8,20,623,1338,63,291,7.875,14.55,0,0,0,0
1192-2009,2009,1192,7,23,486,1423,42,415,6,18.04347826,0,0,0,0
1192-2010,2010,1192,11,21,780,1247,75,327,6.818181818,15.57142857,0,0,0,0
1192-2011,2011,1192,5,24,369,1497,39,281,7.8,11.70833333,0,0,0,0
1192-2012,2012,1192,3,26,184,1578,15,361,5,13.88461538,0,0,0,0
1192-2013,2013,1192,7,24,525,1509,47,461,6.714285714,19.20833333,0,0,0,0
1192-2014,2014,1192,9,20,699,1293,84,292,9.333333333,14.6,0,0,0,0
1192-2015,2015,1192,7,21,529,1325,27,242,3.857142857,11.52380952,0,0,0,0
1192-2016,2016,1192,17,14,1403,979,134,186,7.882352941,13.28571429,W16a,16,0,0
1193-2003,2003,1193,19,11,1397,722,152,115,8,10.45454545,0,0,0,0
1193-2004,2004,1193,19,11,1380,648,215,113,11.31578947,10.27272727,0,0,0,0
1193-2005,2005,1193,15,15,1058,983,147,116,9.8,7.733333333,0,0,0,0
1193-2006,2006,1193,9,19,727,1291,46,219,5.111111111,11.52631579,0,0,0,0
1193-2007,2007,1193,13,19,871,1125,87,161,6.692307692,8.473684211,0,0,0,0
1193-2008,2008,1193,14,16,1023,949,109,204,7.785714286,12.75,0,0,0,0
1193-2009,2009,1193,17,15,1165,928,146,205,8.588235294,13.66666667,0,0,0,0
1193-2010,2010,1193,22,10,1574,684,232,92,10.54545455,9.2,0,0,0,0
1193-2011,2011,1193,24,7,1598,422,296,68,12.33333333,9.714285714,0,0,0,0
1193-2012,2012,1193,19,14,1293,861,223,90,11.73684211,6.428571429,0,0,0,0
1193-2013,2013,1193,19,15,1214,837,207,154,10.89473684,10.26666667,0,0,0,0
1193-2014,2014,1193,7,25,485,1545,44,254,6.285714286,10.16,0,0,0,0
1193-2015,2015,1193,7,24,470,1375,65,261,9.285714286,10.875,0,0,0,0
1193-2016,2016,1193,19,13,1581,879,160,168,8.421052632,12.92307692,0,0,0,0
1194-2003,2003,1194,6,21,451,1414,49,275,8.166666667,13.0952381,0,0,0,0
1194-2004,2004,1194,7,19,645,1335,109,149,15.57142857,7.842105263,0,0,0,0
1194-2005,2005,1194,10,17,852,1221,116,167,11.6,9.823529412,0,0,0,0
1194-2006,2006,1194,15,13,1224,831,153,135,10.2,10.38461538,0,0,0,0
1194-2007,2007,1194,15,15,1193,1034,132,264,8.8,17.6,0,0,0,0
1194-2008,2008,1194,15,18,1216,1149,155,236,10.33333333,13.11111111,0,0,0,0
1194-2009,2009,1194,6,26,416,1663,61,301,10.16666667,11.57692308,0,0,0,0
1194-2010,2010,1194,12,16,930,1080,128,161,10.66666667,10.0625,0,0,0,0
1194-2011,2011,1194,19,10,1329,618,146,117,7.684210526,11.7,0,0,0,0
1194-2012,2012,1194,10,19,721,1158,80,177,8,9.315789474,0,0,0,0
1194-2013,2013,1194,13,18,934,1075,105,210,8.076923077,11.66666667,0,0,0,0
1194-2014,2014,1194,8,22,595,1358,83,224,10.375,10.18181818,0,0,0,0
1194-2015,2015,1194,7,20,480,1207,70,225,10,11.25,0,0,0,0
1194-2016,2016,1194,7,24,525,1520,65,331,9.285714286,13.79166667,0,0,0,0
1195-2008,2008,1195,10,21,730,1315,82,323,8.2,15.38095238,0,0,0,0
1195-2009,2009,1195,10,20,684,1271,75,292,7.5,14.6,0,0,0,0
1195-2010,2010,1195,8,21,593,1282,53,260,6.625,12.38095238,0,0,0,0
1195-2011,2011,1195,10,20,747,1223,105,320,10.5,16,0,0,0,0
1195-2012,2012,1195,14,17,1102,1125,168,182,12,10.70588235,0,0,0,0
1195-2013,2013,1195,22,10,1605,710,278,117,12.63636364,11.7,X15,15,0,0
1195-2014,2014,1195,20,12,1532,768,276,146,13.8,12.16666667,0,0,0,0
1195-2015,2015,1195,19,10,1375,591,223,122,11.73684211,12.2,0,0,0,0
1195-2016,2016,1195,16,13,1297,895,189,110,11.8125,8.461538462,W16b,16,0,0
1196-2003,2003,1196,24,7,1899,454,383,35,15.95833333,5,X02,02,0,0
1196-2004,2004,1196,20,10,1641,668,327,92,16.35,9.2,Y05,05,0,0
1196-2005,2005,1196,23,7,1830,476,476,52,20.69565217,7.428571429,Z04,04,0,0
1242-2008,2008,1242,30,3,2475,204,657,13,21.9,4.333333333,X01,01,1,1
1314-2009,2009,1314,27,4,2449,322,528,16,19.55555556,4,X01,01,1,1
1196-2008,2008,1196,21,11,1755,745,418,113,19.9047619,10.27272727,0,0,0,0
1196-2009,2009,1196,23,10,1854,700,372,52,16.17391304,5.2,0,0,0,0
1196-2010,2010,1196,21,12,1541,822,279,75,13.28571429,6.25,Z10,10,0,0
1196-2011,2011,1196,26,7,1909,452,338,58,13,8.285714286,Y02,02,0,0
1196-2012,2012,1196,23,10,1849,668,429,91,18.65217391,9.1,Z07,07,0,0
1196-2013,2013,1196,26,7,1932,432,626,34,24.07692308,4.857142857,X03,03,0,0
1196-2014,2014,1196,32,2,2288,117,442,7,13.8125,3.5,X01,01,0,1
1196-2015,2015,1196,16,17,1066,1035,242,123,15.125,7.235294118,0,0,0,0
1196-2016,2016,1196,19,14,1490,939,280,114,14.73684211,8.142857143,0,0,0,0
1197-2003,2003,1197,17,12,1286,787,171,179,10.05882353,14.91666667,0,0,0,0
1197-2004,2004,1197,14,16,1077,1086,158,214,11.28571429,13.375,Z16a,16,0,0
1197-2005,2005,1197,14,15,1085,887,144,313,10.28571429,20.86666667,0,0,0,0
1197-2006,2006,1197,13,17,981,1017,123,288,9.461538462,16.94117647,0,0,0,0
1197-2007,2007,1197,18,13,1309,829,168,211,9.333333333,16.23076923,Z16a,16,0,0
1197-2008,2008,1197,13,17,923,981,106,305,8.153846154,17.94117647,0,0,0,0
1197-2009,2009,1197,10,21,703,1196,58,387,5.8,18.42857143,0,0,0,0
1197-2010,2010,1197,8,22,573,1306,52,379,6.5,17.22727273,0,0,0,0
1197-2011,2011,1197,8,20,484,1239,45,272,5.625,13.6,0,0,0,0
1197-2012,2012,1197,8,23,593,1406,53,341,6.625,14.82608696,0,0,0,0
1197-2013,2013,1197,6,23,409,1410,39,327,6.5,14.2173913,0,0,0,0
1197-2014,2014,1197,12,18,875,1202,65,207,5.416666667,11.5,0,0,0,0
1197-2015,2015,1197,2,27,121,1486,14,522,7,19.33333333,0,0,0,0
1197-2016,2016,1197,6,21,450,1240,17,316,2.833333333,15.04761905,0,0,0,0
1198-2003,2003,1198,7,21,449,1228,87,229,12.42857143,10.9047619,0,0,0,0
1198-2004,2004,1198,3,22,199,1158,25,368,8.333333333,16.72727273,0,0,0,0
1198-2005,2005,1198,12,17,877,1070,85,208,7.083333333,12.23529412,0,0,0,0
1198-2006,2006,1198,7,20,456,1199,49,280,7,14,0,0,0,0
1198-2007,2007,1198,10,17,690,1068,49,235,4.9,13.82352941,0,0,0,0
1198-2008,2008,1198,8,20,572,1203,95,279,11.875,13.95,0,0,0,0
1198-2009,2009,1198,12,19,830,1120,87,279,7.25,14.68421053,0,0,0,0
1198-2010,2010,1198,6,25,447,1641,53,352,8.833333333,14.08,0,0,0,0
1198-2011,2011,1198,9,19,670,1322,58,201,6.444444444,10.57894737,0,0,0,0
1198-2012,2012,1198,8,20,567,1201,68,179,8.5,8.95,0,0,0,0
1198-2013,2013,1198,18,14,1320,890,145,144,8.055555556,10.28571429,0,0,0,0
1198-2014,2014,1198,13,15,936,955,113,220,8.692307692,14.66666667,0,0,0,0
1198-2015,2015,1198,14,17,907,1015,91,232,6.5,13.64705882,0,0,0,0
1198-2016,2016,1198,11,19,820,1319,134,147,12.18181818,7.736842105,0,0,0,0
1199-2003,2003,1199,14,15,1044,930,202,158,14.42857143,10.53333333,0,0,0,0
1199-2004,2004,1199,17,13,1307,821,292,99,17.17647059,7.615384615,0,0,0,0
1199-2005,2005,1199,11,19,853,1187,139,204,12.63636364,10.73684211,0,0,0,0
1199-2006,2006,1199,19,9,1514,653,292,70,15.36842105,7.777777778,0,0,0,0
1199-2007,2007,1199,20,12,1589,783,303,132,15.15,11,0,0,0,0
1199-2008,2008,1199,19,14,1388,1003,239,129,12.57894737,9.214285714,0,0,0,0
1199-2009,2009,1199,25,9,1742,591,203,80,8.12,8.888888889,W05,05,0,0
1199-2010,2010,1199,22,9,1566,557,340,82,15.45454545,9.111111111,Z09,09,0,0
1199-2011,2011,1199,21,10,1575,574,314,95,14.95238095,9.5,Z10,10,0,0
1199-2012,2012,1199,24,9,1771,550,336,91,14,10.11111111,W03,03,0,0
1199-2013,2013,1199,18,15,1313,899,171,219,9.5,14.6,0,0,0,0
1199-2014,2014,1199,19,13,1427,826,264,118,13.89473684,9.076923077,0,0,0,0
1199-2015,2015,1199,17,16,1215,984,150,161,8.823529412,10.0625,0,0,0,0
1199-2016,2016,1199,19,13,1546,953,262,124,13.78947368,9.538461538,0,0,0,0
1200-2003,2003,1200,2,26,159,1651,16,394,8,15.15384615,0,0,0,0
1200-2004,2004,1200,6,22,446,1289,56,395,9.333333333,17.95454545,0,0,0,0
1200-2005,2005,1200,13,16,927,902,162,204,12.46153846,12.75,0,0,0,0
1200-2006,2006,1200,16,16,1187,981,191,180,11.9375,11.25,0,0,0,0
1200-2007,2007,1200,18,12,1268,696,167,128,9.277777778,10.66666667,0,0,0,0
1200-2008,2008,1200,11,17,795,1009,114,191,10.36363636,11.23529412,0,0,0,0
1200-2009,2009,1200,3,25,206,1512,27,453,9,18.12,0,0,0,0
1200-2010,2010,1200,2,26,169,1624,26,453,13,17.42307692,0,0,0,0
1200-2011,2011,1200,7,21,518,1277,67,341,9.571428571,16.23809524,0,0,0,0
1200-2012,2012,1200,10,19,680,1117,76,353,7.6,18.57894737,0,0,0,0
1200-2013,2013,1200,7,24,520,1477,36,392,5.142857143,16.33333333,0,0,0,0
1200-2014,2014,1200,10,21,795,1429,115,310,11.5,14.76190476,0,0,0,0
1200-2015,2015,1200,9,21,651,1270,112,258,12.44444444,12.28571429,0,0,0,0
1200-2016,2016,1200,16,13,1248,816,235,173,14.6875,13.30769231,0,0,0,0
1201-2003,2003,1201,20,8,1450,556,201,65,10.05,8.125,0,0,0,0
1201-2004,2004,1201,13,15,841,913,139,121,10.69230769,8.066666667,0,0,0,0
1201-2005,2005,1201,15,14,1119,961,142,118,9.466666667,8.428571429,0,0,0,0
1201-2006,2006,1201,15,13,1227,840,143,139,9.533333333,10.69230769,0,0,0,0
1201-2007,2007,1201,22,9,1650,555,269,94,12.22727273,10.44444444,0,0,0,0
1201-2008,2008,1201,12,19,867,1248,154,177,12.83333333,9.315789474,0,0,0,0
1201-2009,2009,1201,13,21,953,1346,131,204,10.07692308,9.714285714,0,0,0,0
1201-2010,2010,1201,14,18,1028,1095,178,203,12.71428571,11.27777778,0,0,0,0
1201-2011,2011,1201,13,17,989,1033,181,206,13.92307692,12.11764706,0,0,0,0
1201-2012,2012,1201,11,20,733,1286,108,160,9.818181818,8,0,0,0,0
1201-2013,2013,1201,9,19,544,1081,79,170,8.777777778,8.947368421,0,0,0,0
1201-2014,2014,1201,15,16,1131,1092,157,188,10.46666667,11.75,0,0,0,0
1201-2015,2015,1201,13,17,868,1032,81,187,6.230769231,11,0,0,0,0
1201-2016,2016,1201,23,9,1777,611,198,87,8.608695652,9.666666667,X14,14,0,0
1202-2003,2003,1202,11,17,819,988,101,218,9.181818182,12.82352941,0,0,0,0
1202-2004,2004,1202,14,12,1045,838,172,76,12.28571429,6.333333333,0,0,0,0
1202-2005,2005,1202,12,13,862,831,134,140,11.16666667,10.76923077,0,0,0,0
1202-2006,2006,1202,12,13,893,838,141,149,11.75,11.46153846,0,0,0,0
1202-2007,2007,1202,13,16,938,1018,113,175,8.692307692,10.9375,0,0,0,0
1202-2008,2008,1202,7,23,467,1370,45,350,6.428571429,15.2173913,0,0,0,0
1202-2009,2009,1202,4,24,264,1431,23,343,5.75,14.29166667,0,0,0,0
1202-2010,2010,1202,11,17,788,1114,110,165,10,9.705882353,0,0,0,0
1202-2011,2011,1202,20,10,1459,595,249,134,12.45,13.4,0,0,0,0
1202-2012,2012,1202,13,16,934,911,136,198,10.46153846,12.375,0,0,0,0
1202-2013,2013,1202,5,24,355,1348,47,400,9.4,16.66666667,0,0,0,0
1202-2014,2014,1202,7,20,530,1177,68,339,9.714285714,16.95,0,0,0,0
1202-2015,2015,1202,9,22,609,1335,78,298,8.666666667,13.54545455,0,0,0,0
1202-2016,2016,1202,16,15,1195,969,189,137,11.8125,9.133333333,0,0,0,0
1203-2003,2003,1203,12,17,875,1195,124,139,10.33333333,8.176470588,0,0,0,0
1203-2004,2004,1203,18,11,1424,761,275,114,15.27777778,10.36363636,0,0,0,0
1203-2005,2005,1203,22,7,1783,457,374,75,17,10.71428571,W12,12,0,0
1203-2006,2006,1203,26,2,2100,111,380,36,14.61538462,18,W08,08,0,0
1203-2007,2007,1203,23,8,1699,504,322,109,14,13.625,W11,11,0,0
1203-2008,2008,1203,9,17,617,1032,140,266,15.55555556,15.64705882,0,0,0,0
1203-2009,2009,1203,10,18,739,1114,131,198,13.1,11,0,0,0,0
1203-2010,2010,1203,16,14,1204,903,187,114,11.6875,8.142857143,0,0,0,0
1203-2011,2011,1203,17,14,1210,801,158,172,9.294117647,12.28571429,0,0,0,0
1203-2012,2012,1203,10,21,695,1226,111,259,11.1,12.33333333,0,0,0,0
1203-2013,2013,1203,13,17,959,1029,180,158,13.84615385,9.294117647,0,0,0,0
1203-2014,2014,1203,24,8,1847,502,305,96,12.70833333,12,W09,09,0,0
1203-2015,2015,1203,21,12,1554,663,330,138,15.71428571,11.5,0,0,0,0
1203-2016,2016,1203,23,10,1796,687,301,86,13.08695652,8.6,0,0,0,0
1204-2003,2003,1204,13,13,1078,887,91,147,7,11.30769231,0,0,0,0
1204-2004,2004,1204,18,8,1426,624,202,53,11.22222222,6.625,0,0,0,0
1204-2005,2005,1204,14,13,1228,921,210,129,15,9.923076923,0,0,0,0
1204-2006,2006,1204,18,9,1495,568,244,153,13.55555556,17,0,0,0,0
1204-2007,2007,1204,13,16,943,1011,162,189,12.46153846,11.8125,0,0,0,0
1204-2008,2008,1204,18,12,1344,881,199,136,11.05555556,11.33333333,0,0,0,0
1204-2009,2009,1204,7,22,490,1528,62,346,8.857142857,15.72727273,0,0,0,0
1204-2010,2010,1204,7,23,550,1516,32,359,4.571428571,15.60869565,0,0,0,0
1204-2011,2011,1204,2,27,139,1673,14,384,7,14.22222222,0,0,0,0
1204-2012,2012,1204,13,15,928,902,90,172,6.923076923,11.46666667,0,0,0,0
1204-2013,2013,1204,12,19,805,1079,121,265,10.08333333,13.94736842,0,0,0,0
1204-2014,2014,1204,12,19,895,1222,138,226,11.5,11.89473684,0,0,0,0
1204-2015,2015,1204,19,9,1298,541,172,51,9.052631579,5.666666667,0,0,0,0
1204-2016,2016,1204,12,17,950,1183,127,200,10.58333333,11.76470588,0,0,0,0
1205-2003,2003,1205,4,24,303,1579,26,241,6.5,10.04166667,0,0,0,0
1205-2004,2004,1205,7,20,527,1258,74,273,10.57142857,13.65,0,0,0,0
1205-2005,2005,1205,16,12,1219,776,169,107,10.5625,8.916666667,0,0,0,0
1205-2006,2006,1205,17,12,1255,747,106,177,6.235294118,14.75,0,0,0,0
1205-2007,2007,1205,8,21,562,1270,101,379,12.625,18.04761905,0,0,0,0
1205-2008,2008,1205,15,16,1228,1138,229,204,15.26666667,12.75,0,0,0,0
1205-2009,2009,1205,10,17,794,1181,107,195,10.7,11.47058824,0,0,0,0
1205-2010,2010,1205,5,21,379,1365,28,373,5.6,17.76190476,0,0,0,0
1205-2011,2011,1205,9,21,601,1230,77,272,8.555555556,12.95238095,0,0,0,0
1205-2012,2012,1205,10,20,717,1208,73,168,7.3,8.4,0,0,0,0
1205-2013,2013,1205,18,12,1229,708,167,76,9.277777778,6.333333333,0,0,0,0
1205-2014,2014,1205,15,15,1116,1021,138,151,9.2,10.06666667,0,0,0,0
1205-2015,2015,1205,16,14,1248,942,122,179,7.625,12.78571429,0,0,0,0
1205-2016,2016,1205,14,16,1052,1091,119,208,8.5,13,0,0,0,0
1206-2003,2003,1206,16,12,1115,679,230,130,14.375,10.83333333,0,0,0,0
1206-2004,2004,1206,21,9,1609,577,247,122,11.76190476,13.55555556,0,0,0,0
1206-2005,2005,1206,16,13,1297,830,257,148,16.0625,11.38461538,0,0,0,0
1206-2006,2006,1206,23,7,1660,422,371,54,16.13043478,7.714285714,Z11,11,0,1
1206-2007,2007,1206,18,15,1227,863,271,132,15.05555556,8.8,0,0,0,0
1206-2008,2008,1206,23,10,1667,639,322,72,14,7.2,W12,12,0,0
1206-2009,2009,1206,22,10,1508,608,259,65,11.77272727,6.5,0,0,0,0
1206-2010,2010,1206,17,14,1217,832,128,139,7.529411765,9.928571429,0,0,0,0
1206-2011,2011,1206,26,6,1934,413,433,55,16.65384615,9.166666667,W08,08,0,0
1206-2012,2012,1206,24,9,1724,599,257,76,10.70833333,8.444444444,0,0,0,0
1206-2013,2013,1206,18,14,1205,931,172,100,9.555555556,7.142857143,0,0,0,0
1206-2014,2014,1206,11,20,764,1390,75,154,6.818181818,7.7,0,0,0,0
1206-2015,2015,1206,8,22,568,1329,65,246,8.125,11.18181818,0,0,0,0
1206-2016,2016,1206,11,21,803,1337,106,279,9.636363636,13.28571429,0,0,0,0
1207-2003,2003,1207,15,14,1179,1034,283,94,18.86666667,6.714285714,0,0,0,0
1207-2004,2004,1207,13,15,1019,864,217,182,16.69230769,12.13333333,0,0,0,0
1207-2005,2005,1207,17,12,1119,738,192,130,11.29411765,10.83333333,0,0,0,0
1207-2006,2006,1207,21,9,1478,522,282,68,13.42857143,7.555555556,Y07,07,0,0
1207-2007,2007,1207,26,6,1848,343,423,52,16.26923077,8.666666667,W02,02,0,1
1207-2008,2008,1207,27,5,1914,317,423,47,15.66666667,9.4,X02,02,0,0
1207-2009,2009,1207,16,14,1152,924,293,123,18.3125,8.785714286,0,0,0,0
1207-2010,2010,1207,23,10,1775,642,341,73,14.82608696,7.3,Y03,03,0,0
1207-2011,2011,1207,21,10,1632,570,260,107,12.38095238,10.7,Z06,06,0,0
1207-2012,2012,1207,22,8,1549,504,349,69,15.86363636,8.625,X03,03,0,0
1207-2013,2013,1207,25,6,1667,335,329,55,13.16,9.166666667,X02,02,0,0
1207-2014,2014,1207,17,14,1296,881,252,164,14.82352941,11.71428571,0,0,0,0
1207-2015,2015,1207,21,10,1579,613,267,79,12.71428571,7.9,X04,04,0,0
1207-2016,2016,1207,15,18,1152,1278,196,136,13.06666667,7.555555556,0,0,0,0
1208-2003,2003,1208,19,8,1562,576,217,55,11.42105263,6.875,0,0,0,0
1208-2004,2004,1208,16,13,1188,733,201,170,12.5625,13.07692308,0,0,0,0
1208-2005,2005,1208,8,20,610,1073,91,306,11.375,15.3,0,0,0,0
1208-2006,2006,1208,15,15,1151,959,161,179,10.73333333,11.93333333,0,0,0,0
1208-2007,2007,1208,17,13,1421,811,322,134,18.94117647,10.30769231,0,0,0,0
1208-2008,2008,1208,16,16,1181,991,186,157,11.625,9.8125,Z14,14,0,0
1208-2009,2009,1208,12,20,890,1187,143,303,11.91666667,15.15,0,0,0,0
1208-2010,2010,1208,14,17,1008,1120,139,161,9.928571429,9.470588235,0,0,0,0
1208-2011,2011,1208,21,11,1496,706,225,80,10.71428571,7.272727273,W10,10,0,0
1208-2012,2012,1208,15,17,1029,921,146,211,9.733333333,12.41176471,0,0,0,0
1208-2013,2013,1208,15,17,960,986,134,159,8.933333333,9.352941176,0,0,0,0
1208-2014,2014,1208,19,13,1379,830,238,165,12.52631579,12.69230769,0,0,0,0
1208-2015,2015,1208,21,11,1470,717,217,84,10.33333333,7.636363636,W10,10,0,0
1208-2016,2016,1208,19,13,1359,884,176,141,9.263157895,10.84615385,0,0,0,0
1209-2003,2003,1209,13,15,986,1064,175,182,13.46153846,12.13333333,0,0,0,0
1209-2004,2004,1209,18,9,1432,553,226,90,12.55555556,10,0,0,0,0
1209-2005,2005,1209,13,15,1029,932,127,195,9.769230769,13,0,0,0,0
1209-2006,2006,1209,7,22,549,1339,121,301,17.28571429,13.68181818,0,0,0,0
1209-2007,2007,1209,11,20,781,1212,94,327,8.545454545,16.35,0,0,0,0
1209-2008,2008,1209,9,21,643,1204,49,189,5.444444444,9,0,0,0,0
1209-2009,2009,1209,10,20,651,1129,99,228,9.9,11.4,0,0,0,0
1209-2010,2010,1209,11,20,734,1182,105,175,9.545454545,8.75,0,0,0,0
1209-2011,2011,1209,12,19,849,1070,103,172,8.583333333,9.052631579,0,0,0,0
1209-2012,2012,1209,21,11,1464,701,340,71,16.19047619,6.454545455,0,0,0,0
1209-2013,2013,1209,14,16,992,1036,150,139,10.71428571,8.6875,0,0,0,0
1209-2014,2014,1209,23,8,1826,581,339,52,14.73913043,6.5,0,0,0,0
1209-2015,2015,1209,23,9,1657,603,341,79,14.82608696,8.777777778,Z14,14,0,0
1209-2016,2016,1209,14,14,952,869,120,137,8.571428571,9.785714286,0,0,0,0
